variable,relative_importance,scaled_importance,percentage
adult_male,231.2921448,1,0.320338983
fare,101.3361206,0.438130403,0.140350248
age,91.85122681,0.39712212,0.127213696
pclass,71.00117493,0.306976162,0.098336432
who,62.58038712,0.27056858,0.086673664
sex,50.17182159,0.216919695,0.069487835
deck,34.49820709,0.149154253,0.047779922
class,23.23588562,0.100461197,0.032181638
sibsp,21.00531769,0.090817255,0.029092307
parch,12.55688095,0.054290131,0.017391246
embark_town,10.25407314,0.044333858,0.014201863
embarked,7.095719337,0.030678601,0.009827552
alone,5.144137383,0.022240865,0.007124616
